"id"	"AFFX.BioB.3_at"	"AFFX.BioB.5_at"	"AFFX.BioB.M_at"	"AFFX.BioC.3_at"	"AFFX.BioC.5_at"	"AFFX.BioDn.3_at"	"AFFX.BioDn.5_at"	"AFFX.CreX.3_at"	"AFFX.CreX.5_at"	"AFFX.DapX.3_at"	"AFFX.DapX.5_at"	"AFFX.DapX.M_at"	"AFFX.LysX.3_at"	"AFFX.LysX.5_at"	"AFFX.LysX.M_at"	"AFFX.Mgr.actin.3_at"	"AFFX.Mgr.actin.5_at"	"AFFX.Mgr.actin.M_at"	"AFFX.Mgr.ef1a.3_at"	"AFFX.Mgr.ef1a.3_x_at"	"AFFX.Mgr.ef1a.5_at"	"AFFX.Mgr.ef1a.M_at"	"AFFX.Mgr.gapdh.3_at"	"AFFX.Mgr.gapdh.5_at"	"AFFX.Mgr.gapdh.M_at"	"AFFX.Os_18SrRNA_at"	"AFFX.Os_28SrRNA_at"	"AFFX.Os_Actin_3_at"	"AFFX.Os_Actin_5_f_at"	"AFFX.Os_Actin_M_s_at"	"OsAffx.5120.1.S1_x_at"	"OsAffx.24853.1.S1_at"	"OsAffx.3344.1.S1_at"	"OsAffx.3567.1.S1_at"	"OsAffx.3702.1.S1_at"	"RPTR.Os.AF292559.2_s_at"	"OsAffx.30790.1.S1_at"	"OsAffx.27341.1.S1_at"	"OsAffx.32171.3.S1_at"	"RPTR.Os.AE009032.1_at"	"OsAffx.9983.1.S1_at"	"OsAffx.4917.1.S1_at"	"OsAffx.9645.1.S1_at"	"OsAffx.28239.1.A1_at"	"OsAffx.31213.1.S1_x_at"	"Os.2310.1.S1_at"	"OsAffx.4636.1.S1_at"	"OsAffx.32277.1.A1_at"	"OsAffx.26652.1.S1_at"	"OsAffx.9815.1.S1_at"	"OsAffx.27546.1.S1_x_at"	"OsAffx.9848.1.S1_at"	"OsAffx.9882.1.S1_at"	"OsAffx.9485.1.S1_at"	"OsAffx.9840.1.S1_at"	"OsAffx.5804.1.S1_at"	"RPTR.Os.NC_001669.1_at"	"OsAffx.9886.1.S1_at"	"Os.11176.1.S1_at"	"Os.12381.1.S1_x_at"
"P1.r1"	2.60805221747737	2.4612691122539	3.00128413658915	7.22806275917122	6.87324627850295	34.1489027018413	16.7958161546388	103.498526738262	84.2757675818794	3.21364028534944	0.759821484602838	1.52909935526198	0.563978774610423	0.169910843878351	0.350593408010698	0.17901147545786	0.232052021910463	0.201590240171922	0.290131633558368	0.197566352572957	0.313124993483066	0.237776639551964	0.327758343270451	0.149182907057442	0.0735897212040901	1.47024495993347	3.86891445507403	29.8205526346423	8.1272101462977	11.2028480947047	0.101724185859488	0.233225804908324	0.145120493714107	0.243304697835278	0.107636394584664	0.0287009931376765	0.721795629918764	0.174697331474178	0.12849058966574	0.176178196946195	0.144362016806483	0.103431886298004	0.228065216886644	0.424009072087338	0.0748131411828548	3.81419971580973	0.213591423241856	0.239910507572731	1.3922200921303	0.070572964631764	0.413157574760688	0.122318419781955	0.141568847387947	0.243764452568329	0.174668183757874	0.33647361237785	0.0748441139595455	0.0652736234195762	4.25206248520732	0.204206626455004
"P1.r2"	3.08068770165777	3.00061618329847	3.87587439037987	8.30592755720938	7.64175329322868	38.9527262771018	19.1120344907556	120.249926960035	91.7128123070806	3.56142822152194	1.22879581186189	1.84438372377075	0.543719214704737	0.163498855780258	0.40695307275487	0.203243008118698	0.258077688225835	0.299526122030709	0.357552304686376	0.268877782903584	0.343832138359492	0.276899675803538	0.285360721318779	0.126172579528318	0.0846935257251514	0.292310063914715	0.759144390094616	38.7692984123795	8.74273177717	11.3708054295955	0.140977856420326	0.199925659377602	0.120612116256213	0.299591987653185	0.244570853547814	0.0329770324423035	0.60545351789615	0.11768128756828	0.102188073079202	0.185257451937455	0.157687054457026	0.117027268262517	0.281154464845905	0.507604005888552	0.105406525597257	3.41453558812685	0.280172656274713	0.239516471404921	1.41717388659102	0.0824095965776552	0.425925374709918	0.135466827410282	0.112296399739481	0.304405437725757	0.160462602899306	0.250598244054125	0.0770871230935983	0.0514409233188392	4.79951297380109	0.161153190462866
"P1.r3"	2.83062031149545	2.50402443048064	3.51526423972603	7.27852080401634	6.78882124617798	34.4903697386096	15.562336766266	103.778591650661	77.771095399774	4.7346143575955	1.80557391271813	2.89187446263853	0.823490258714834	0.241532784809053	0.403011074318669	0.192449677469079	0.241458272830507	0.222082740354675	0.241180097737363	0.214003916312061	0.244711334053909	0.209898532673736	0.257874770033995	0.145218078694759	0.0867292496774165	3.03426404092837	10.8771382278208	32.2717345645154	5.48921507654833	8.37266399107147	0.127139554132922	0.251948263026736	0.0970991774588824	0.277706772712562	0.310657401933567	0.0342166435498569	0.940143247138761	0.192111128187094	0.119489908349429	0.171712821375277	0.128173737718489	0.113963967561208	0.234794550572998	0.49168247512797	0.0773660121716687	2.47760340942963	0.196513157357936	0.844756068452947	1.86770718211864	0.108453350773455	0.323128932996812	0.12458411759893	0.134795246170222	0.270400463331263	0.192239569940382	0.399444210836829	0.0619981934490572	0.0837696135931732	4.08693867967178	0.0696216148454598
"P3.r1"	3.46616799150342	3.35048927287365	4.30815772434939	9.32360548447526	8.78678224673532	44.9297573476258	20.9028764087975	124.688075948182	99.121241450968	3.58668344851474	1.35417193102311	2.17675835929975	0.620375667817107	0.198464087782864	0.416426316230854	0.161754795463771	0.317183041068615	0.363129972155439	0.789577779194537	0.491047213415875	0.269197799870534	0.400404417706154	0.405747118706096	0.217758347365745	0.100225517320352	0.735800706645791	1.54793469818327	70.9948686636016	25.2715346277125	29.0466446958394	0.127096699378727	0.388211174218982	0.119899592002496	0.271657688768022	0.279861639616445	0.0869374835104173	0.2443975166062	0.149530384972986	1.28997846943648	0.24399495074307	0.161043199147658	0.173840269830641	0.263596719565746	0.430465679223742	0.134829741696599	5.54406150756114	0.264009659880417	0.419707391198407	0.903173119997061	0.0683736171958027	0.421697567306955	0.170100997531944	0.129856195719541	0.408390248250363	0.219645517986866	0.389538968037855	0.0809656704078991	0.0925298402792158	7.71920373449153	0.0559531001945745
"P3.r2"	6.40565693313679	5.90546689975298	7.6741318755843	16.3720114941037	14.6275536607111	70.5623205820567	38.5403331161692	224.084780728303	174.493524851403	8.01931936349009	2.482451149311	4.08413996534524	1.33440798329981	0.397680661287413	0.763611649512783	0.21451644867181	0.571106842066366	0.565958736287517	1.44802795304063	0.894850416188076	0.209580356001624	0.401197246257342	0.591860511327373	0.346356982516674	0.136929668285918	31.2082947863257	20.1591026105458	163.69457452749	70.4518264570295	84.4585983812371	0.274775018001933	0.440086219348675	0.328368265461449	0.42486257590221	0.39168527602868	0.10093848271804	0.530556406281787	0.329847774249371	0.144538075253381	0.331388922148072	0.230290177074295	0.29879083825315	0.562910893122297	0.626594318463481	0.18977165833329	33.5253637110547	0.5335049639589	0.95704991468079	0.431290899967036	0.223542937129523	0.973944541330074	0.240250555557901	0.248932776254983	0.532395809504187	0.386506056537058	0.865106666402732	0.103579610631241	0.17115138787071	18.6773902655124	0.16360100100299
"P3.r3"	10.0169946781009	8.37794183268254	11.2902896080632	24.6389657664286	23.6706779255509	116.905883206799	56.9268493491508	339.526927083719	259.183436027404	7.47992584402373	1.68769924823275	3.83055331878183	1.37586741673518	0.383249300802072	0.856506499188866	0.358414326534729	0.546183099643154	0.714432503852199	1.64568160280346	1.03636322749192	0.350612411933265	0.537067048744182	0.650373402013859	0.260663483114706	0.162295081713702	24.4689877652438	18.4613421800944	128.598253075792	47.2274522981012	67.9731070621358	0.226354300101481	0.525992220432169	0.241238867725239	0.361871202897207	0.318895947351334	0.123918030154205	0.373219294555224	0.286498676638829	0.226568011902555	0.372732888206621	0.246614599458995	0.182223157684409	0.342375886725034	0.604525010189574	0.142446799663451	27.2447956173707	0.530542890126528	0.532649746129207	0.339254427767088	0.19242024791378	0.885946296973258	0.352854212089968	0.259306942163309	0.630367629416438	0.349185794301526	0.626806353071487	0.137428150261491	0.157987072098079	25.4055961992904	0.177444833963025
"R.r1"	3.7383848806793	3.16061777736334	4.72122139179183	9.23308189425005	9.91262739210232	47.8013133500408	25.1141940992253	152.376734756296	116.520233391093	8.54416197012067	1.59505775384236	3.35182673381833	1.61988531813367	0.366132495314368	0.693877166215173	0.229198116932185	0.271388555354191	0.26047133600162	0.298396423213142	0.297539311786373	0.369055658490176	0.244379535580587	0.33148640579559	0.191426245272336	0.0921285281013725	12.9926814876666	18.0684315354787	34.3610684116501	5.30858072559876	7.90026855692624	0.1626301776395	0.321651923513041	0.179508878914267	0.270876376409424	0.353413989014594	0.0717546124306327	0.30316272525471	0.220278219089967	1.3311356709796	0.211275607523276	0.232695605926221	0.237520569251672	0.374642444766255	0.515621275062931	0.155922101368948	1.25947766374014	0.253446431614981	0.590011343113511	1.44724919316685	0.193103872808653	0.427675462128164	0.252335176224141	0.15562878506973	0.438049477425946	0.144106327199939	0.304532330941069	0.124493035435879	0.143071843092263	2.35059441277967	0.675679854173785
"R.r2"	3.8200012806824	3.4152550690256	4.47369741667487	9.23575751663155	10.1158902946449	48.1696483468948	26.2785341553692	147.151110791593	114.642653697196	10.9092902433961	1.60595444643148	4.66837304357858	1.93730188461846	0.445135716306524	0.755827364962545	0.230846991134692	0.444972535825715	0.351047207152823	0.325921043847198	0.349115521429905	0.203089507286986	0.280119137456987	0.282743053372261	0.203168720570951	0.137391649546497	3.20595984554867	3.41181057364663	39.6079380761035	5.60419260576883	9.38615973994326	0.223925883920726	0.284379669459131	0.124243209726152	0.405596270406502	0.23796072755201	0.129815644244412	0.319430433187709	0.225996019868855	3.30254246799058	0.230265646446978	0.254024180460896	0.172285590675957	0.283505274365578	0.478537452856769	0.0955296676393509	1.48808300637223	0.296069862295277	0.777483727811257	1.36528562886816	0.224835068113483	0.400254296816787	0.135568987107884	0.180383035511193	0.531667747113046	0.191071560438363	0.337010067398486	0.125774699380007	0.158931417846606	2.55027758382297	0.957898949580247
"R.r3"	3.21450820994571	2.78032568486921	4.05830591918924	7.97694384356509	9.1455692779334	43.4579152959144	23.4167085613598	146.413758644095	106.503988435973	7.53465460032403	1.49894449289041	3.5789107161899	1.56177450648289	0.351404854818358	0.658604788398584	0.167318452977819	0.220693964567198	0.316914928930528	0.32298707646668	0.413213023625117	0.199834874405433	0.287889018866381	0.412618800543303	0.220374174583285	0.108983666759957	16.9553196560025	23.7248282634908	29.0942327829299	3.79898157647705	6.0731121597089	0.201830298763724	0.277900781204324	0.207638335494561	0.252395707125736	0.299571857680885	0.0743597572592965	0.395952548027721	0.260769223553893	1.02996367449468	0.186531686556689	0.255402374883993	0.154235095901448	0.322208546309579	0.427448160710246	0.151449623959286	1.56819741560555	0.298043909481425	0.63918701929411	1.43492927003315	0.325254120387835	0.403809314806457	0.234972148423429	0.198569112979248	0.471801523119935	0.229553030526145	0.36870097889038	0.0799158083328586	0.138928197368472	2.28914777863918	0.351018829815742
"S.r1"	3.90294974335723	3.05320229914176	4.43430832402974	9.76125511422209	11.6757027464127	54.6253592893656	22.7524250917421	152.675713347871	119.223352697098	2.79283507521464	0.408574405978512	1.23915930434327	0.46864076887273	0.136152107413258	0.320837627422543	0.136088431192916	0.237294556575971	0.210762788936309	0.234232028160339	0.206263597737953	0.287477437513634	0.233026354525281	0.232991225269484	0.138715778887118	0.0638201380766738	0.293271049416544	0.7347374731949	30.9685146414882	6.81309102652044	10.8486793584315	0.110350037872182	0.202130675677231	0.102741038279917	0.250641881914715	0.175410661961332	0.0575038052511465	0.23849108253084	0.15980260446042	0.218283634119633	0.10776801724093	0.0704865730572892	0.131731363323061	0.250000355102378	0.302502945353509	0.0963098056818359	2.94734520580846	0.176781546883898	0.262878171761925	1.77394421094531	0.0831279373896024	0.393069260166685	0.128464951554549	0.0864727903200575	0.253336346653028	0.0975132266845756	0.299272014069957	0.114237599524203	0.073596120650393	3.23366915358185	7.64943591051175
"S.r2"	7.23677149713539	6.24842062222093	9.38854186910335	16.9769441410288	20.0773005077378	90.4609578083646	39.7010089495026	211.85786995861	169.03214713162	3.50266048200433	0.543607084568143	1.78906925463312	0.497847724658209	0.123513088401079	0.327395272427429	0.168445388594721	0.28021659813826	0.236422517611314	0.177787309448002	0.199505859326357	0.195270222980307	0.185928542645329	0.242695122095298	0.20311230724506	0.0909780120070151	0.467504846350283	0.600929418671515	29.153240550399	4.94109502765981	8.94224779648845	0.174022029900666	0.196307024625922	0.135210715152932	0.15277609550212	0.15854711319647	0.0383658302168042	0.30971511491617	0.109326009243769	0.256412424925751	0.154126321448602	0.162260375369196	0.152159384282477	0.196040989782419	0.350928613884267	0.104773147991646	2.8791149833884	0.230289991583956	0.29129661982735	1.61960492844929	0.12913061805767	0.268169663532368	0.219184439654917	0.167879478457659	0.327252911984178	0.208647550277377	0.249968909092686	0.0784388509516838	0.0801813510679686	2.92749758934563	16.430349609768
"S.r3"	3.86101036475761	3.39163350667948	4.94229964961904	10.3627495694383	11.7623815579361	50.3102771876442	22.2443462473311	126.457153473923	102.10280688361	2.86891774471061	0.536967046438918	1.5450027110815	0.557594416530261	0.127551839315597	0.270423045358392	0.128977809055308	0.271053492563627	0.222911817703598	0.194283219399576	0.163445621377491	0.258320538894551	0.238692185136782	0.191035903392769	0.201043364050572	0.0659136970154627	0.34167801875019	0.834953825119277	33.2133075889607	9.44293722220443	12.6057181069449	0.105769323608026	0.272765208385662	0.078338424622272	0.233371551915982	0.0418343794567067	0.0369467423574227	0.18600714667776	0.113064152303007	0.149128898877481	0.116357187408474	0.0955753334541343	0.161538743018168	0.182564071018867	0.255905362022481	0.100071203576588	2.76356518199255	0.213986590280371	0.173900623954074	1.64902632171301	0.0805818202231179	0.17128842385392	0.143085988158222	0.0654534150495535	0.309089131702748	0.116157015417304	0.275677849141372	0.0766033227395478	0.0864061487365222	3.031423899268	6.75990168389497
"YL.r1"	3.32204684460946	3.18586511742708	3.69993964652623	2.8388668316963	3.17653723098193	44.0420581745315	22.1837457479581	135.553157635706	108.198432654536	12.5489824815379	2.65875990140073	5.53043059183828	1.65552852333368	0.40046709785806	0.881543369356804	0.220875800458543	0.216271424644023	0.269008771437203	0.367984543289665	0.266782508651848	0.244250371374698	0.281621488838555	0.447647539930429	0.221919048264384	0.0892877410304658	0.672927082986841	1.15718464856464	7.64894889792545	1.11454028678054	1.93907196815264	0.548478397275353	0.336985483605715	0.272347639823287	0.3503931558087	0.197073617168984	0.0890175913270307	0.566166998462423	0.227965661541806	0.183656357981095	0.160404371139887	0.150254418401198	0.172330037569395	0.303089404884352	0.580568557412207	0.16941243413975	3.5257239336208	0.309518657236295	0.661887319627183	0.911171488793633	0.171022120109942	0.374032676420989	0.159787699173518	0.137005585583279	0.394090641491152	0.219606823470825	0.49288336524308	0.119932395791685	0.0663772956995715	0.943605830257685	0.053484673672089
"YL.r2"	3.41089399321229	3.18807115796678	3.75696554111493	8.91982285642645	10.2693207170256	43.2555304580299	19.6727738244338	120.591980312659	90.0732363106024	4.2053706867167	0.794389142879209	1.8776309607353	0.850114695889026	0.199123318235641	0.357235607999882	0.128483978984718	0.210226141840965	0.231703159749278	0.252189897950908	0.254612871373915	0.269638394467425	0.239655438996824	0.298402212191745	0.101575440177025	0.0559529259502931	0.805262262452535	0.882375863495728	7.21547621431297	1.52082017144429	2.14154195321359	0.452790215335122	0.287469063675599	0.0967506410380094	0.181499690839106	0.16704881721319	0.058567992623968	0.468809375829314	0.161492583299774	0.127072368981748	0.152345033903589	0.112170786834738	0.165551123740483	0.156157008494128	0.406294945627882	0.107496009729248	3.57843288267783	0.228448355272347	0.178938233043638	1.07051501684871	0.144085010332747	0.268432979883633	0.12053973925811	0.149618462410947	0.282239819134964	0.157853287744655	0.292856176246375	0.0656177762558261	0.104241805978782	0.674810190525514	0.0601034773541016
"YL.r3"	3.39548907964803	3.02035417270215	3.86364744817745	3.01348919765425	3.06359293098388	44.5866587818777	22.3105133834474	139.885874279397	110.846388124567	8.34617042387926	2.2230264908399	4.20080554244557	1.38208609163783	0.432423891761299	0.684292996244244	0.152950466965755	0.209474926150287	0.208033760835143	0.377390684244951	0.274902164302285	0.34365800273922	0.266305743421361	0.30827724301391	0.15810658481176	0.127360402489302	0.424945201921264	0.904854290559841	6.28481886934492	1.48235385030302	2.14586819072863	0.145720431192956	0.283464572327661	0.172608683787099	0.216150646354922	0.203135108449434	0.0914799063349845	0.546520561870894	0.182729318510824	0.0811569288059856	0.188709664326847	0.103385171683	0.141765593981471	0.269985175447683	0.508009330716064	0.114244744532353	3.69864842958719	0.257243561476939	0.267624175276778	0.877173534221457	0.0953721419549667	0.407748028204747	0.143133027330364	0.207869330433177	0.317808896844165	0.133749181172252	0.363570722889042	0.0504374256735421	0.0737246738103584	0.555629845577395	0.0554011429986239
"YL.r4"	4.63877027108309	4.01872117246084	5.07809731832145	11.9085219230923	12.7124696746073	56.620558817208	25.3027628869092	148.049297737512	115.212358662911	3.82731074193729	0.808259080589168	1.90306345672107	0.74977882498792	0.225023167868757	0.373224851317353	0.18481241952552	0.198286068405097	0.258078260324844	0.341591173046069	0.281711914688266	0.231453888082857	0.258271347514997	0.265814710787876	0.176931223229907	0.0827169311971766	0.378700546198553	0.826435917918037	7.07475932693117	1.25765388468183	1.87266410064775	0.300233080867483	0.249329882142607	0.0978179688765311	0.2097920360387	0.137425300849068	0.0618493814956134	0.364698088401743	0.169666329198833	0.12276035845388	0.169188115374265	0.107638479273566	0.179705075568641	0.314071324086225	0.386198548927973	0.104207617315639	3.89885522122821	0.210032167830857	0.161122585080101	1.08295312889029	0.11388829117003	0.411390724715339	0.18382135488207	0.123079731236598	0.329914850877074	0.156225299701695	0.46043928377884	0.113078451734728	0.0842869574108174	0.612328851019654	0.0527369504083289
